id,name,label
340,emotional responses,SYMPTOM
341,social interactions,ISSUE
342,belonging,SYMPTOM
343,agoraphobia,CONDITION
344,social life,ISSUE
345,privacy violations,STRESSOR
346,interpersonal skills,COPING_STRATEGY
347,fear of exposure,SYMPTOM
348,privacy concerns,ISSUE
349,hobbies,COPING_STRATEGY
350,COVID-19,STRESSOR
351,emotional intelligence,COPING_STRATEGY
352,mood swings,SYMPTOM
353,self-esteem issues,ISSUE
354,cognitive reappraisal,COPING_STRATEGY
355,positive self-talk,COPING_STRATEGY
356,irritation,SYMPTOM
357,grounding,COPING_STRATEGY
358,melancholy,SYMPTOM
359,supportive counseling,INTERVENTION
360,fear of death,SYMPTOM
361,life changes,STRESSOR
362,hurt,SYMPTOM
363,past hurts,STRESSOR
364,anticipatory grief,SYMPTOM
365,impulsive actions,SYMPTOM
366,regret,SYMPTOM
367,self-worth,ISSUE
368,mistrust,SYMPTOM
369,suicidal tendencies,SYMPTOM
370,past traumas,STRESSOR
371,environmental stressors,STRESSOR
372,emotional wellbeing,SYMPTOM
373,overwhelming,SYMPTOM
374,distressing,SYMPTOM
375,fear of not knowing,SYMPTOM
376,fear of making a mistake,SYMPTOM
377,caregiver stress,STRESSOR
378,self-care practices,COPING_STRATEGY
379,relaxation,COPING_STRATEGY
380,dementia,CONDITION
381,non-pharmacological interventions,COPING_STRATEGY
382,cognitive distortions,ISSUE
383,negative attitude,SYMPTOM
384,limiting beliefs,ISSUE
385,childhood trauma,STRESSOR
386,academic pressure,ISSUE
387,work pressure,STRESSOR
388,need for control,ISSUE
389,security,ISSUE
390,stability,ISSUE
391,identity,ISSUE
392,relationships,ISSUE
393,social skills,COPING_STRATEGY
394,communication strategies,COPING_STRATEGY
395,work environment,ISSUE
396,social needs,ISSUE
397,work demands,STRESSOR
398,family obligations,STRESSOR
399,personal struggles,STRESSOR
400,community organizations,INTERVENTION
401,respite care services,INTERVENTION
402,professional counseling,INTERVENTION
403,assertive communication,COPING_STRATEGY
404,emotional issues,CONDITION
405,trust,ISSUE
406,intimacy,ISSUE
407,fear of abandonment,SYMPTOM
408,attachment-focused therapy,INTERVENTION
409,emotionally focused therapy,INTERVENTION
410,rest,COPING_STRATEGY
411,eating well,COPING_STRATEGY
412,lack of motivation,SYMPTOM
413,managing tasks,ISSUE
414,low mood,SYMPTOM
415,self-consciousness,SYMPTOM
416,communication breakdown,ISSUE
417,diabetes,ISSUE
418,addiction,CONDITION
419,support,ISSUE
420,breakup,STRESSOR
421,work commitments,ISSUE
422,safety concerns,ISSUE
423,obligation,SYMPTOM
424,career choices,ISSUE
425,growth mindset,COPING_STRATEGY
426,fear of making the wrong choice,SYMPTOM
427,feedback,STRESSOR
428,communication style,ISSUE
429,mental illness,CONDITION
430,emotional and mental health,SYMPTOM
431,memory issues,ISSUE
432,seeking support,COPING_STRATEGY
433,emotion-focused therapy,INTERVENTION
434,Eisenhower Matrix,COPING_STRATEGY
435,time blocking,COPING_STRATEGY
436,delegating tasks,COPING_STRATEGY
437,professional development,INTERVENTION
438,business coaching,INTERVENTION
439,decreased appetite,SYMPTOM
440,perfectionism,ISSUE
441,decision-making,COPING_STRATEGY
442,discouraged,SYMPTOM
443,career change,ISSUE
444,fear of failure,SYMPTOM
445,rejection,SYMPTOM
446,social isolation,ISSUE
447,mindfulness based stress reduction,INTERVENTION
448,self-destructive behaviors,ISSUE
449,low self-esteem,CONDITION
450,doubt,SYMPTOM
451,emotional attachments,ISSUE
452,cognitive restructuring techniques,INTERVENTION
453,avoidance behaviors,ISSUE
454,sleep quality,ISSUE
455,energy levels,ISSUE
456,difficulty sleeping,SYMPTOM
457,overextending,ISSUE
458,balance,ISSUE
459,effective communication,COPING_STRATEGY
460,emotional resilience,COPING_STRATEGY
461,self-harm,CONDITION
462,breathing,COPING_STRATEGY
463,financial burden,ISSUE
464,cognitive behavioral interventions,INTERVENTION
465,emotional overwhelm,SYMPTOM
466,emotional pain,SYMPTOM
467,writing a letter,COPING_STRATEGY
468,ethical dilemma,STRESSOR
469,acceptance and commitment therapy,INTERVENTION
470,dissociation,CONDITION
471,therapist,INTERVENTION
472,divorce,STRESSOR
473,walking,COPING_STRATEGY
474,motivation,ISSUE
475,setting clear boundaries,COPING_STRATEGY
476,dissociative episodes,CONDITION
477,teletherapy,INTERVENTION
478,emdr,INTERVENTION
479,prioritizing tasks,COPING_STRATEGY
480,emotional detachment,SYMPTOM
481,numbness,SYMPTOM
482,language barriers,STRESSOR
483,cultural barriers,STRESSOR
484,language interpreter,INTERVENTION
485,professional caregivers,INTERVENTION
486,activity planning,COPING_STRATEGY
487,engaging activities,COPING_STRATEGY
488,professional consultants,INTERVENTION
489,unreliable communication,STRESSOR
490,family systems therapy,INTERVENTION
491,social skills training,INTERVENTION
492,social engagement,COPING_STRATEGY
493,pandemic,STRESSOR
494,hospice team,INTERVENTION
495,serious illness,STRESSOR
496,self-blame,SYMPTOM
497,hospitalization,STRESSOR
498,information overload,ISSUE
499,eating disorder,CONDITION
500,neglected,STRESSOR
501,mood disorder,CONDITION
502,traumatic event,STRESSOR
503,disoriented,SYMPTOM
504,supportive,COPING_STRATEGY
505,overwhelming responsibility,SYMPTOM
506,barking,STRESSOR
507,financial issues,ISSUE
508,self-compassionate mindset,COPING_STRATEGY
509,support network,COPING_STRATEGY
510,need for autonomy,ISSUE
511,problem-solving techniques,COPING_STRATEGY
512,beliefs about medication and addiction,ISSUE
513,writing condolence notes,COPING_STRATEGY
514,emotional numbness,SYMPTOM
515,condition,CONDITION
518,past mistakes,STRESSOR
519,scam calls,STRESSOR
520,final wishes discussion,STRESSOR
521,emotional neglect,STRESSOR
522,seizures,STRESSOR
523,hospital setting,STRESSOR
525,challenges,ISSUE
526,tools,COPING_STRATEGY
527,customer service calls,STRESSOR
528,unresolved issue,STRESSOR
529,shortness of breath,SYMPTOM
530,external support,INTERVENTION
531,bedsores,STRESSOR
532,stress management techniques,COPING_STRATEGY
533,health diagnosis,STRESSOR
534,PTSD,CONDITION
535,accessing mental health care,STRESSOR
536,mother's restlessness,STRESSOR
539,manic episodes,SYMPTOM
540,social media use,STRESSOR
541,mental health crisis,CONDITION
542,disrupted sleep patterns,SYMPTOM
543,communication issue,ISSUE
544,financial uncertainty,STRESSOR
545,sleeping difficulties,SYMPTOM
546,problem-solving intervention,INTERVENTION
547,meaning-making,COPING_STRATEGY
549,music therapy,INTERVENTION
550,positive mindset,COPING_STRATEGY
551,mindfulness based interventions,INTERVENTION
552,task management,COPING_STRATEGY
553,geriatric care manager,INTERVENTION
554,life change,STRESSOR
555,stressor,STRESSOR
556,itching,STRESSOR
558,unhelpful thought patterns,SYMPTOM
559,self-talk,COPING_STRATEGY
560,multiple responsibilities,STRESSOR
561,emotional triggers,STRESSOR
562,conflicting information,STRESSOR
563,hospital stay,STRESSOR
564,fear of the unknown,STRESSOR
565,lack of control,STRESSOR
566,alarming health information,STRESSOR
567,husband's heart attack,STRESSOR
568,caring for your mom during the pandemic,STRESSOR
569,isolated,SYMPTOM
570,online support groups,COPING_STRATEGY
571,feeling like a burden,SYMPTOM
572,ashamed of seeking help,SYMPTOM
573,son's health issues,STRESSOR
574,health concerns for loved ones,STRESSOR
575,avoidance coping,COPING_STRATEGY
576,problem-solving therapy,INTERVENTION
577,social comparison,ISSUE
578,relapse,CONDITION
579,fear of judgment,SYMPTOM
580,mood disorders,CONDITION
581,criticism,STRESSOR
582,new foods,STRESSOR
583,social media content,STRESSOR
584,compulsive buying,CONDITION
585,social media,ISSUE
586,cyberbullying,STRESSOR
587,sleep hygiene,COPING_STRATEGY
588,open conversations,COPING_STRATEGY
589,relapse prevention,INTERVENTION
590,internet,STRESSOR
591,alternative therapies,INTERVENTION
592,mental distress,SYMPTOM
594,suicidal ideation,CONDITION
595,intervention,INTERVENTION
596,therapeutic process,INTERVENTION
597,mania,SYMPTOM
598,distressing content,STRESSOR
599,writing an open letter,COPING_STRATEGY
600,self-care issues,ISSUE
601,support system change,STRESSOR
602,home environment,STRESSOR
603,identity crisis,CONDITION
604,feelings of inadequacy,SYMPTOM
605,sense of aimlessness,SYMPTOM
606,life transitions,ISSUE
607,fear of rejection,SYMPTOM
608,communicating needs,COPING_STRATEGY
609,challenging negative thoughts,COPING_STRATEGY
610,focusing on strengths,COPING_STRATEGY
611,family issues,ISSUE
612,patient advocate,INTERVENTION
613,anxiety disorder,CONDITION
614,communication challenges,ISSUE
615,role-playing,COPING_STRATEGY
616,developing questions,COPING_STRATEGY
617,I statements,COPING_STRATEGY
618,seeking second opinion,INTERVENTION
619,emotional validation,COPING_STRATEGY
620,mother's safety concerns,STRESSOR
621,house repairs,STRESSOR
622,decision paralysis,SYMPTOM
623,pros and cons analysis,COPING_STRATEGY
624,financial commitment,STRESSOR
625,potential disruption,STRESSOR
626,creating a budget,COPING_STRATEGY
627,compromise,COPING_STRATEGY
628,incontinence issue,STRESSOR
629,disrupted routine,STRESSOR
630,cost,STRESSOR
631,time,STRESSOR
632,disruption,STRESSOR
633,proper planning,COPING_STRATEGY
634,breaking down tasks,COPING_STRATEGY
635,conflict resolution skills,COPING_STRATEGY
636,difficult situation,STRESSOR
637,writing,COPING_STRATEGY
638,creating art,COPING_STRATEGY
639,video calls,COPING_STRATEGY
640,rebuilding relationships,COPING_STRATEGY
641,challenging situations,STRESSOR
642,financial pressures,STRESSOR
645,validation,COPING_STRATEGY
646,compassion,COPING_STRATEGY
647,flexibility,COPING_STRATEGY
648,optimistic mindset,COPING_STRATEGY
649,conflicts,STRESSOR
650,conflict resolution,COPING_STRATEGY
651,psychosis,CONDITION
652,work-life balance,ISSUE
653,prioritizing relationships,COPING_STRATEGY
654,triggers,STRESSOR
655,mental chatter,SYMPTOM
656,creating a photo album,COPING_STRATEGY
657,financial constraints,STRESSOR
658,set boundaries,COPING_STRATEGY
659,healthy boundaries,COPING_STRATEGY
660,stress_management_techniques,COPING_STRATEGY
661,breathing_exercises,COPING_STRATEGY
662,coping_strategies,COPING_STRATEGY
663,emotional_overwhelm,SYMPTOM
664,caregiving_stress,ISSUE
665,self_care,COPING_STRATEGY
666,cognitive_behavioral_therapy,INTERVENTION
667,coping_skills,COPING_STRATEGY
668,self_esteem_issues,ISSUE
669,volunteering,COPING_STRATEGY
670,family collaboration,COPING_STRATEGY
671,family support,COPING_STRATEGY
672,limiting interactions,COPING_STRATEGY
673,emotional needs identification,COPING_STRATEGY
674,loss of communication,STRESSOR
675,setting realistic expectations,COPING_STRATEGY
676,emotional exploration,COPING_STRATEGY
677,consistent sleep schedule,COPING_STRATEGY
678,treatment,INTERVENTION
679,loss of loved ones,STRESSOR
680,setting healthy boundaries,COPING_STRATEGY
681,palliative care,INTERVENTION
682,hospice care,INTERVENTION
683,emotional exhaustion,SYMPTOM
684,physical condition,STRESSOR
685,secondary traumatic stress,SYMPTOM
686,inner conflict,SYMPTOM
687,conflicting emotions,SYMPTOM
688,feeling drained,SYMPTOM
689,patient advocacy team,INTERVENTION
690,social worker,INTERVENTION
691,Alzheimer's disease,CONDITION
692,cognitive decline,STRESSOR
693,financial concerns,STRESSOR
694,challenging thoughts,COPING_STRATEGY
695,engaging in enjoyable activities,COPING_STRATEGY
696,sharing caregiving responsibilities,COPING_STRATEGY
697,tensions,SYMPTOM
698,acknowledging emotions,COPING_STRATEGY
699,interventions,INTERVENTION
700,negative feedback,STRESSOR
701,yoga,COPING_STRATEGY
702,sense of loss,SYMPTOM
703,underlying issues,ISSUE
704,unresolved conflicts,STRESSOR
705,panic attack,SYMPTOM
706,end-of-life care,ISSUE
707,mental anguish,SYMPTOM
708,staff workload,ISSUE
709,hospital financial priorities,ISSUE
710,internal conflict,SYMPTOM
711,external pressures,STRESSOR
712,department staffing situation,ISSUE
713,morale,ISSUE
714,support systems,COPING_STRATEGY
715,fear of confrontation,ISSUE
716,supportive conversations,COPING_STRATEGY
717,difficulty focusing,SYMPTOM
718,mental health challenges,ISSUE
719,emotion-focused coping,INTERVENTION
720,self-awareness,COPING_STRATEGY
721,husband's condition,STRESSOR
722,husband's diagnosis,STRESSOR
723,loved one's illness,STRESSOR
724,intense emotions,SYMPTOM
725,significant change,ISSUE
726,traveling,COPING_STRATEGY
727,mental breaks,COPING_STRATEGY
728,reading,COPING_STRATEGY
729,calming activities,COPING_STRATEGY
730,unmet emotional needs,ISSUE
731,significant health event,STRESSOR
732,care team,INTERVENTION
733,art,COPING_STRATEGY
734,social media addiction,ISSUE
736,active listening skills,COPING_STRATEGY
737,social connection,COPING_STRATEGY
738,setting goals,COPING_STRATEGY
739,financial management issues,ISSUE
740,insecurity,SYMPTOM
741,attachment issues,CONDITION
742,social exclusion,SYMPTOM
743,adult day programs,INTERVENTION
744,in-home care services,INTERVENTION
745,emotional disconnection,SYMPTOM
746,home health care services,INTERVENTION
747,procrastination,SYMPTOM
748,mental health struggles,ISSUE
749,suicide,SYMPTOM
750,safety plan,COPING_STRATEGY
751,breathing difficulties,SYMPTOM
752,sleep difficulties,CONDITION
753,social media pressures,ISSUE
754,restlessness,SYMPTOM
755,seek support,COPING_STRATEGY
756,emotional challenges,SYMPTOM
757,obsessive-compulsive disorder,CONDITION
758,perspective-taking,COPING_STRATEGY
759,visitors,STRESSOR
760,rumination,SYMPTOM
761,cognitive re-framing,COPING_STRATEGY
762,gratitude exercises,COPING_STRATEGY
763,engaging in joyful activities,COPING_STRATEGY
764,small routine changes,COPING_STRATEGY
765,being judged,STRESSOR
766,supportive relationships,COPING_STRATEGY
767,realistic goals,COPING_STRATEGY
768,comparing yourself to others,ISSUE
769,terminal illness,STRESSOR
770,compulsive behaviors,SYMPTOM
771,problem-solving caregiving,INTERVENTION
772,validating feelings,COPING_STRATEGY
773,positive self-affirmations,COPING_STRATEGY
774,traumas,STRESSOR
775,self-perception,SYMPTOM
776,stress_reduction_techniques,COPING_STRATEGY
777,self_compassion,COPING_STRATEGY
778,supportive_counseling,INTERVENTION
779,relationship_issues,ISSUE
780,deep_breathing,COPING_STRATEGY
781,emotional_regulation,COPING_STRATEGY
782,trust issues,ISSUE
783,fear of vulnerability,SYMPTOM
784,ethical dilemmas,STRESSOR
785,lack of confidence,SYMPTOM
786,self-reflection,COPING_STRATEGY
787,panic,SYMPTOM
788,fear of intimacy,SYMPTOM
789,emotional vulnerability,COPING_STRATEGY
790,sensate focus exercises,COPING_STRATEGY
791,bullying,STRESSOR
792,social relationships,ISSUE
793,assertiveness,COPING_STRATEGY
794,supervision,INTERVENTION
795,routine,COPING_STRATEGY
796,generalized anxiety disorder,CONDITION
797,mental health condition,CONDITION
798,discrimination,STRESSOR
799,seeking social connection,COPING_STRATEGY
800,patience,COPING_STRATEGY
801,self-discovery,ISSUE
802,insecurities,SYMPTOM
803,developing boundaries,COPING_STRATEGY
804,anger issues,CONDITION
805,self-sabotage,CONDITION
806,self_reflection,COPING_STRATEGY
807,relaxation_techniques,COPING_STRATEGY
808,sexual_orientation_issues,ISSUE
809,lack_of_acceptance,STRESSOR
810,social_pressure,STRESSOR
811,educating_yourself,COPING_STRATEGY
812,supportive_communities,COPING_STRATEGY
813,research,COPING_STRATEGY
814,spiritual_counseling,INTERVENTION
815,panic_attacks,SYMPTOM
816,social_situations,STRESSOR
817,exposure_therapy,INTERVENTION
818,quality time,COPING_STRATEGY
819,self-esteem,ISSUE
820,sexual identity,ISSUE
821,mental well-being,ISSUE
822,positive reinforcement,COPING_STRATEGY
823,time management issues,ISSUE
824,symptom,SYMPTOM
825,humanistic therapy,INTERVENTION
826,therapy issue,ISSUE
827,conflicting diagnoses,ISSUE
853,online resources,COPING_STRATEGY
854,self-help materials,COPING_STRATEGY
855,data manipulation,STRESSOR
856,person-centered therapy,INTERVENTION
857,professional ethics dilemma,ISSUE
858,parenting,ISSUE
859,sexuality,ISSUE
860,disconnected from your spirituality,ISSUE
861,sexual orientation,ISSUE
862,behavioral changes,ISSUE
863,difficult feelings,SYMPTOM
864,substance abuse,CONDITION
865,difficult emotions,SYMPTOM
866,engaging in activities,COPING_STRATEGY
867,domestic violence,CONDITION
868,abusive relationship,ISSUE
869,self_esteem issues,ISSUE
870,negative body image,SYMPTOM
871,negative thinking patterns,SYMPTOM
872,social situations,STRESSOR
874,trauma-focused therapy,INTERVENTION
875,financial pressure,STRESSOR
876,connecting with loved ones,COPING_STRATEGY
877,excessive worrying,SYMPTOM
878,exploring activities,COPING_STRATEGY
879,difficult thoughts,SYMPTOM
880,fear of trusting others,SYMPTOM
881,overthinking,SYMPTOM
882,self-worth issues,ISSUE
883,work deadlines,STRESSOR
884,family responsibilities,STRESSOR
885,sleep,COPING_STRATEGY
886,public speaking,STRESSOR
887,financial instability,STRESSOR
888,driving,STRESSOR
889,seasonal changes,STRESSOR
890,light therapy,INTERVENTION
891,social gatherings,STRESSOR
892,social withdrawal,ISSUE
893,cognitive reframing,COPING_STRATEGY
894,physical exercise,COPING_STRATEGY
895,parents' divorce,STRESSOR
896,demanding workload,ISSUE
897,unfamiliar situations,STRESSOR
898,fear vulnerability,SYMPTOM
899,difficulty concentrating,SYMPTOM
900,appetite changes,SYMPTOM
901,mindfulness-based stress reduction,INTERVENTION
